STATE_UT_NAME,DISTRICT,ANNUAL
ANDAMAN AND NICOBAR,NICOBAR,2805.2
ANDAMAN AND NICOBAR,SOUTH ANDAMAN,3015.7
ANDAMAN AND NICOBAR,N & M ANDAMAN,2913.3
ARUNACHAL PRADESH,LOHIT,3043.8
ARUNACHAL PRADESH,EAST SIANG,4034.7
ARUNACHAL PRADESH,SUBANSIRI F.D,1300.4
ARUNACHAL PRADESH,TIRAP,3571.5
ARUNACHAL PRADESH,ANJAW (LOHIT),3043.8
ARUNACHAL PRADESH,LOWER DIBANG,2553.3
ARUNACHAL PRADESH,CHANGLANG,3543.9
ARUNACHAL PRADESH,PAPUM PARE,3378.2
ARUNACHAL PRADESH,LOW SUBANSIRI,1921.1
ARUNACHAL PRADESH,UPPER SIANG,4402.1
ARUNACHAL PRADESH,WEST SIANG,2440.7
ARUNACHAL PRADESH,DIBANG VALLEY,2553.3
ARUNACHAL PRADESH,WEST KAMENG,3399.4
ARUNACHAL PRADESH,EAST KAMENG,2030.9
ARUNACHAL PRADESH,TAWANG(W KAME,3399.4
ARUNACHAL PRADESH,KURUNG KUMEY,2221.5
ASSAM,CACHAR,2999.2
ASSAM,DARRANG,1957.8
ASSAM,GOALPARA,2575.3
ASSAM,KAMRUP,1813.4
ASSAM,LAKHIMPUR,2859.3
ASSAM,NORTH CACHAR,1977.5
ASSAM,NAGAON,1660.1
ASSAM,SIVASAGAR,1811.6
ASSAM,BARPETA,3274.6
ASSAM,DHUBRI,2702.6
ASSAM,DIBRUGARH,2556.6
ASSAM,JORHAT,2083.0
ASSAM,KARIMGANJ,3650.8
ASSAM,KOKRAJHAR,3772.2
ASSAM,SHONITPUR,1978.5
ASSAM,GOLAGHAT,1680.7
ASSAM,TINSUKIA,2485.3
ASSAM,HAILAKANDI,2645.6
ASSAM,DHEMAJI(LAKHI,2859.3
ASSAM,KARBI ANGLONG,1341.0
ASSAM,UDALGURI(DARA,1957.8
ASSAM,KAMRUP METROP,1813.4
ASSAM,CHIRANG(BONGAI,3218.7
ASSAM,BAKSA BARPETA,3274.6
ASSAM,BONGAIGAON,3218.7
ASSAM,MORIGAON,1743.5
ASSAM,NALBARI,2356.6
MEGHALAYA,EAST KHASI HI,6166.1
MEGHALAYA,JAINTIA HILLS,6379.9
MEGHALAYA,EAST GARO HIL,2554.4
MEGHALAYA,RI-BHOI,2116.9
MEGHALAYA,SOUTH GARO HI,2459.8
MEGHALAYA,W KHASI HILL,3643.0
MEGHALAYA,WEST GARO HIL,2459.8
MANIPUR,IMPHAL EAST,1839.2
MANIPUR,SENAPATI,1922.6
MANIPUR,TAMENGLONG,7229.3
MANIPUR,CHANDEL,2647.5
MANIPUR,UKHRUL,1549.0
MANIPUR,THOUBAL,1286.3
MANIPUR,BISHNUPUR,2127.5
MANIPUR,IMPHAL WEST,1530.9
MANIPUR,CHURACHANDPUR,2337.4
MIZORAM,AIZAWL,2814.4
MIZORAM,CHAMPHAI,2168.6
MIZORAM,KOLASIB,2660.0
MIZORAM,LUNGLEI,2731.1
MIZORAM,CHHIMTUIPUI,2814.4
MIZORAM,LAWNGTLAI,2557.6
MIZORAM,MAMIT,2814.4
MIZORAM,SAIHA,2480.6
MIZORAM,SERCHHIP,2505.8
NAGALAND,KOHIMA,1824.8
NAGALAND,TUENSANG,2080.0
NAGALAND,MOKOKCHUNG,2409.8
NAGALAND,DIMAPUR,1305.9
NAGALAND,WOKHA,2497.7
NAGALAND,MON,1339.9
NAGALAND,ZUNHEBOTO,2080.0
NAGALAND,PHEK,1824.8
NAGALAND,KEPHRIE,2080.0
NAGALAND,LONGLENG,2080.0
NAGALAND,PEREN,1824.8
TRIPURA,NORTH TRIPURA,2641.8
TRIPURA,SOUTH TRIPURA,2475.4
TRIPURA,WEST TRIPURA,2286.7
TRIPURA,DHALAI,2512.6
WEST BENGAL,COOCH BEHAR,3443.7
WEST BENGAL,DARJEELING,3118.5
WEST BENGAL,JALPAIGURI,3468.3
WEST BENGAL,MALDA,1419.4
WEST BENGAL,SOUTH DINAJPUR,1584.9
WEST BENGAL,NORTH DINAJPUR,1727.6
SIKKIM,NORTH SIKKIM,3094.5
SIKKIM,EAST SIKKIM,2582.2
SIKKIM,WEST SIKKIM,3094.5
SIKKIM,SOUTH SIKKIM,2582.2
WEST BENGAL,BANKURA,1330.9
WEST BENGAL,BIRBHUM,1392.8
WEST BENGAL,BURDWAN,1315.2
WEST BENGAL,HOOGHLY,1418.7
WEST BENGAL,HOWRAH,1600.0
WEST BENGAL,PURULIA,1363.3
WEST BENGAL,MURSHIDABAD,1391.1
WEST BENGAL,NADIA,1261.6
WEST BENGAL,NORTH 24 PARG,1559.8
WEST BENGAL,SOUTH 24 PARG,2088.0
WEST BENGAL,EAST MIDNAPOR,1669.6
WEST BENGAL,WEST MIDNAPOR,1535.5
WEST BENGAL,KOLKATA,1709.2
ORISSA,BALASORE,1679.0
ORISSA,BOLANGIR,1370.8
ORISSA,KANDHAMAL/PHU,1448.3
ORISSA,CUTTACK,1519.7
ORISSA,DHENKANAL,1469.0
ORISSA,GANJAM,1304.5
ORISSA,KALAHANDI,1403.0
ORISSA,KEONDJHARGARH,1436.7
ORISSA,KORAPUT,1622.5
ORISSA,MAYURBHANJ,1660.7
ORISSA,PURI,1416.2
ORISSA,SAMBALPUR,1533.5
ORISSA,SUNDARGARH,1347.8
ORISSA,BHADRAK,1507.4
ORISSA,JAJPUR,1541.3
ORISSA,KENDRAPARA,1540.6
ORISSA,ANGUL,1362.0
ORISSA,NAWAPARA,1197.4
ORISSA,MALKANGIRI,1572.7
ORISSA,NAWARANGPUR,1660.5
ORISSA,NAYAGARH,1450.1
ORISSA,KHURDA,1469.5
ORISSA,BARGARH,1264.9
ORISSA,JHARSUGUDA,1474.3
ORISSA,DEOGARH,1533.5
ORISSA,RAYAGADA,1326.9
ORISSA,GAJAPATI,1462.1
ORISSA,JAGATSINGHAPU,1565.0
ORISSA,BOUDHGARH,1448.3
ORISSA,SONEPUR,1395.4
JHARKHAND,BOKARO,1247.5
JHARKHAND,DHANBAD,1355.2
JHARKHAND,DUMKA,1381.5
JHARKHAND,HAZARIBAG,1196.0
JHARKHAND,PALAMU,1095.9
JHARKHAND,RANCHI,1403.2
JHARKHAND,SAHIBGANJ,1553.7
JHARKHAND,WEST SINGHBHUM,1305.6
JHARKHAND,DEOGHAR,1162.1
JHARKHAND,GIRIDIH,1252.7
JHARKHAND,GODDA,1144.4
JHARKHAND,GUMLA,1421.3
JHARKHAND,LOHARDAGA,1197.1
