,year,state_name,Commodity,crop_type,cul_cost_c2,derived_yield,mat_lab_input_seed,mat_lab_input_fertilizer,mat_lab_input_manure,seed_rate_per_unit,fert_rate_per_unit,manure_rate_per_unit,total_human_hours,total_labor_cost,total_operational_cost,total_fixed_cost,Unnamed: 0
0,2023,karnataka,mungbean,pulse,58465.0,11.0,7462.0,19064.0,5705.0,6.57,30.54,67.55,298.0,71818.0,104049.0,27610.0,
1,2022,maharashtra,pomegranate,fruit,106858.0,223.0,7884.0,7567.0,7367.0,15.94,33.58,42.14,162.0,33210.0,56028.0,32846.0,
2,2023,punjab,orange,fruit,135520.0,200.0,7140.0,15746.0,10363.0,23.73,27.04,51.97,300.0,81300.0,114549.0,26998.0,
3,2023,gujarat,mothbeans,pulse,39064.0,13.0,3918.0,17583.0,4772.0,18.04,14.18,64.04,131.0,22532.0,48805.0,21452.0,
4,2025,punjab,banana,fruit,122295.0,251.0,2393.0,9591.0,11354.0,13.81,16.0,75.54,249.0,38346.0,61684.0,21224.0,
5,2024,gujarat,red pepper,spice,58500.0,27.0,7405.0,7171.0,6136.0,18.61,39.57,52.69,230.0,27830.0,48542.0,13308.0,
6,2024,gujarat,mango,fruit,145797.0,201.0,4755.0,17570.0,11620.0,10.71,25.61,20.94,275.0,29425.0,63370.0,25911.0,
7,2025,maharashtra,orange,fruit,64794.0,299.0,3291.0,11176.0,3228.0,18.73,15.01,42.6,148.0,39368.0,57063.0,23434.0,
8,2025,gujarat,mungbean,pulse,64754.0,14.0,5039.0,12551.0,3121.0,19.3,28.3,23.64,99.0,24552.0,45263.0,13508.0,
9,2022,maharashtra,red pepper,spice,50282.0,24.0,7245.0,6682.0,5309.0,7.44,22.93,50.83,255.0,53805.0,73041.0,37994.0,
10,2022,haryana,coffee,cash crop,32957.0,24.0,6550.0,8235.0,14686.0,11.42,35.21,23.17,185.0,37185.0,66656.0,34025.0,
11,2025,gujarat,watermelon,fruit,86787.0,159.0,6466.0,18080.0,3945.0,19.64,19.54,77.92,112.0,32704.0,61195.0,27196.0,
12,2022,haryana,mothbeans,pulse,73992.0,20.0,7408.0,7011.0,3702.0,18.11,47.68,23.17,94.0,13912.0,32033.0,31194.0,
13,2024,tamil nadu,muskmelon,fruit,92673.0,217.0,4302.0,9334.0,9815.0,18.95,40.14,50.79,244.0,61732.0,85183.0,13151.0,
14,2025,karnataka,mango,fruit,66170.0,84.0,4108.0,16435.0,13359.0,24.67,26.45,31.15,257.0,54227.0,88129.0,13299.0,
15,2025,gujarat,orange,fruit,142157.0,152.0,6870.0,17373.0,13778.0,24.91,17.22,52.32,108.0,13608.0,51629.0,10176.0,
16,2025,gujarat,coconut,fruit,135642.0,162.0,3544.0,14616.0,10253.0,24.34,34.83,61.02,163.0,45640.0,74053.0,37995.0,
17,2023,tamil nadu,muskmelon,fruit,135239.0,270.0,5237.0,18647.0,13499.0,17.59,13.28,52.98,241.0,24582.0,61965.0,20539.0,
18,2025,tamil nadu,coconut,fruit,97211.0,270.0,4175.0,19500.0,8409.0,13.22,40.75,79.03,225.0,27900.0,59984.0,12027.0,
