State,Commodity Group,Commodity,Month,Arrival Quantity 01-01-2024 to 10-04-2026,Arrival Unit,Modal Price 01-01-2024 to 10-04-2026,Price Unit
Andhra Pradesh,Cereals,sorghum,January-2024,0.5,Metric Tonnes,3155.2,Rs./Quintal
Andhra Pradesh,Cereals,maize,January-2024,402.88,Metric Tonnes,2076.71,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,February-2024,0.54,Metric Tonnes,3149.63,Rs./Quintal
Andhra Pradesh,Cereals,maize,February-2024,3904.18,Metric Tonnes,2101.65,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,March-2024,0.35,Metric Tonnes,3188.57,Rs./Quintal
Andhra Pradesh,Cereals,maize,March-2024,303.05,Metric Tonnes,2062.52,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,April-2024,0.13,Metric Tonnes,3180.0,Rs./Quintal
Andhra Pradesh,Cereals,maize,April-2024,3166.9,Metric Tonnes,2151.62,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,May-2024,0.21,Metric Tonnes,3182.38,Rs./Quintal
Andhra Pradesh,Cereals,maize,May-2024,1208.3,Metric Tonnes,2203.29,Rs./Quintal
Andhra Pradesh,Cereals,maize,June-2024,145.2,Metric Tonnes,2217.88,Rs./Quintal
Andhra Pradesh,Cereals,maize,July-2024,1344.7,Metric Tonnes,2200.95,Rs./Quintal
Andhra Pradesh,Cereals,maize,August-2024,1164.4,Metric Tonnes,2237.44,Rs./Quintal
Andhra Pradesh,Cereals,maize,September-2024,100.0,Metric Tonnes,2520.0,Rs./Quintal
Andhra Pradesh,Cereals,maize,October-2024,291.06,Metric Tonnes,2411.55,Rs./Quintal
Andhra Pradesh,Cereals,maize,November-2024,99.77,Metric Tonnes,2201.09,Rs./Quintal
Andhra Pradesh,Cereals,maize,December-2024,77.68,Metric Tonnes,2121.98,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,January-2025,7675.0,Metric Tonnes,3217.25,Rs./Quintal
Andhra Pradesh,Cereals,maize,January-2025,2308.43,Metric Tonnes,2306.96,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,February-2025,27227.0,Metric Tonnes,2734.82,Rs./Quintal
Andhra Pradesh,Cereals,maize,February-2025,3812.3,Metric Tonnes,2649.76,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,March-2025,43842.0,Metric Tonnes,2131.72,Rs./Quintal
Andhra Pradesh,Cereals,maize,March-2025,19244.3,Metric Tonnes,2176.92,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,April-2025,12970.0,Metric Tonnes,2415.27,Rs./Quintal
Andhra Pradesh,Cereals,maize,April-2025,25756.55,Metric Tonnes,2214.62,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,May-2025,2950.0,Metric Tonnes,2836.22,Rs./Quintal
Andhra Pradesh,Cereals,maize,May-2025,13907.6,Metric Tonnes,2295.88,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,June-2025,4662.0,Metric Tonnes,2408.1,Rs./Quintal
Andhra Pradesh,Cereals,maize,June-2025,6706.7,Metric Tonnes,2241.24,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,July-2025,550.0,Metric Tonnes,2381.82,Rs./Quintal
Andhra Pradesh,Cereals,maize,July-2025,6235.7,Metric Tonnes,2304.96,Rs./Quintal
Andhra Pradesh,Cereals,maize,August-2025,2218.65,Metric Tonnes,2308.14,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,September-2025,600.0,Metric Tonnes,2100.0,Rs./Quintal
Andhra Pradesh,Cereals,maize,September-2025,6524.1,Metric Tonnes,2312.46,Rs./Quintal
Andhra Pradesh,Cereals,maize,October-2025,13885.6,Metric Tonnes,2337.24,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,November-2025,7495.0,Metric Tonnes,2365.76,Rs./Quintal
Andhra Pradesh,Cereals,maize,November-2025,36420.2,Metric Tonnes,2317.58,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,December-2025,4482.0,Metric Tonnes,2385.61,Rs./Quintal
Andhra Pradesh,Cereals,maize,December-2025,29157.5,Metric Tonnes,2239.67,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,January-2026,8206.0,Metric Tonnes,2118.35,Rs./Quintal
Andhra Pradesh,Cereals,maize,January-2026,8617.9,Metric Tonnes,2184.92,Rs./Quintal
Andhra Pradesh,Cereals,sorghum,February-2026,487.0,Metric Tonnes,2000.0,Rs./Quintal
Andhra Pradesh,Cereals,maize,February-2026,2490.35,Metric Tonnes,2079.3,Rs./Quintal
